acceleration,model year,origin,car name,mpg,cylinders,displacement,horsepower,weight
11.5,71,1,dodge monaco (sw),12.0,8,383.0,180,4955
12.0,71,1,ford country squire (sw),13.0,8,400.0,170,4746
12.0,71,1,pontiac safari (sw),13.0,8,400.0,175,5140
13.5,71,1,amc hornet sportabout (sw),18.0,6,258.0,110,2962
19.0,71,1,chevrolet vega (sw),22.0,4,140.0,72,2408
15.0,71,1,pontiac firebird,19.0,6,250.0,100,3282
14.5,71,1,ford mustang,18.0,6,250.0,88,3139
14.0,71,1,mercury capri 2000,23.0,4,122.0,86,2220
14.0,71,2,opel 1900,28.0,4,116.0,90,2123
19.5,71,2,peugeot 304,30.0,4,79.0,70,2074
14.5,71,2,fiat 124b,30.0,4,88.0,76,2065
19.0,71,3,toyota corolla 1200,31.0,4,71.0,65,1773
18.0,71,3,datsun 1200,35.0,4,72.0,69,1613
19.0,71,2,volkswagen model 111,27.0,4,97.0,60,1834
20.5,71,1,plymouth cricket,26.0,4,91.0,70,1955
15.5,72,3,toyota corona hardtop,24.0,4,113.0,95,2278
17.0,72,1,dodge colt hardtop,25.0,4,97.5,80,2126
23.5,72,2,volkswagen type 3,23.0,4,97.0,54,2254
19.5,72,1,chevrolet vega,20.0,4,140.0,90,2408
16.5,72,1,ford pinto runabout,21.0,4,122.0,86,2226
12.0,72,1,chevrolet impala,13.0,8,350.0,165,4274
12.0,72,1,pontiac catalina,14.0,8,400.0,175,4385
13.5,72,1,plymouth fury iii,15.0,8,318.0,150,4135
13.0,72,1,ford galaxie 500,14.0,8,351.0,153,4129
11.5,72,1,amc ambassador sst,17.0,8,304.0,150,3672
11.0,72,1,mercury marquis,11.0,8,429.0,208,4633
13.5,72,1,buick lesabre custom,13.0,8,350.0,155,4502
13.5,72,1,oldsmobile delta 88 royale,12.0,8,350.0,160,4456
12.5,72,1,chrysler newport royal,13.0,8,400.0,190,4422
13.5,72,3,mazda rx2 coupe,19.0,3,70.0,97,2330
12.5,72,1,amc matador (sw),15.0,8,304.0,150,3892
14.0,72,1,chevrolet chevelle concours (sw),13.0,8,307.0,130,4098
16.0,72,1,ford gran torino (sw),13.0,8,302.0,140,4294
14.0,72,1,plymouth satellite custom (sw),14.0,8,318.0,150,4077
14.5,72,2,volvo 145e (sw),18.0,4,121.0,112,2933
18.0,72,2,volkswagen 411 (sw),22.0,4,121.0,76,2511
19.5,72,2,peugeot 504 (sw),21.0,4,120.0,87,2979
18.0,72,2,renault 12 (sw),26.0,4,96.0,69,2189
16.0,72,1,ford pinto (sw),22.0,4,122.0,86,2395
17.0,72,3,datsun 510 (sw),28.0,4,97.0,92,2288
14.5,72,3,toyouta corona mark ii (sw),23.0,4,120.0,97,2506
15.0,72,1,dodge colt (sw),28.0,4,98.0,80,2164
16.5,72,3,toyota corolla 1600 (sw),27.0,4,97.0,88,2100
13.0,73,1,buick century 350,13.0,8,350.0,175,4100
11.5,73,1,amc matador,14.0,8,304.0,150,3672
13.0,73,1,chevrolet malibu,13.0,8,350.0,145,3988
14.5,73,1,ford gran torino,14.0,8,302.0,137,4042
12.5,73,1,dodge coronet custom,15.0,8,318.0,150,3777
11.5,73,1,mercury marquis brougham,12.0,8,429.0,198,4952
12.0,73,1,chevrolet caprice classic,13.0,8,400.0,150,4464
13.0,73,1,ford ltd,13.0,8,351.0,158,4363
14.5,73,1,plymouth fury gran sedan,14.0,8,318.0,150,4237
11.0,73,1,chrysler new yorker brougham,13.0,8,440.0,215,4735
11.0,73,1,buick electra 225 custom,12.0,8,455.0,225,4951
11.0,73,1,amc ambassador brougham,13.0,8,360.0,175,3821
16.5,73,1,plymouth valiant,18.0,6,225.0,105,3121
18.0,73,1,chevrolet nova custom,16.0,6,250.0,100,3278
16.0,73,1,amc hornet,18.0,6,232.0,100,2945
16.5,73,1,ford maverick,18.0,6,250.0,88,3021
16.0,73,1,plymouth duster,23.0,6,198.0,95,2904
21.0,73,2,volkswagen super beetle,26.0,4,97.0,46,1950
14.0,73,1,chevrolet impala,11.0,8,400.0,150,4997
12.5,73,1,ford country,12.0,8,400.0,167,4906
13.0,73,1,plymouth custom suburb,13.0,8,360.0,170,4654
12.5,73,1,oldsmobile vista cruiser,12.0,8,350.0,180,4499
15.0,73,1,amc gremlin,18.0,6,232.0,100,2789
19.0,73,3,toyota carina,20.0,4,97.0,88,2279
19.5,73,1,chevrolet vega,21.0,4,140.0,72,2401
16.5,73,3,datsun 610,22.0,4,108.0,94,2379
13.5,73,3,maxda rx3,18.0,3,70.0,90,2124
18.5,73,1,ford pinto,19.0,4,122.0,85,2310
14.0,73,1,mercury capri v6,21.0,6,155.0,107,2472
15.5,73,2,fiat 124 sport coupe,26.0,4,98.0,90,2265
13.0,73,1,chevrolet monte carlo s,15.0,8,350.0,145,4082
9.5,73,1,pontiac grand prix,16.0,8,400.0,230,4278
19.5,73,2,fiat 128,29.0,4,68.0,49,1867
15.5,73,2,opel manta,24.0,4,116.0,75,2158
14.0,73,2,audi 100ls,20.0,4,114.0,91,2582
15.5,73,2,volvo 144ea,19.0,4,121.0,112,2868
11.0,73,1,dodge dart custom,15.0,8,318.0,150,3399
14.0,73,2,saab 99le,24.0,4,121.0,110,2660
13.5,73,3,toyota mark ii,20.0,6,156.0,122,2807
11.0,73,1,oldsmobile omega,11.0,8,350.0,180,3664
16.5,74,1,plymouth duster,20.0,6,198.0,95,3102
17.0,74,1,ford maverick,21.0,6,200.0,?,2875
16.0,74,1,amc hornet,19.0,6,232.0,100,2901
17.0,74,1,chevrolet nova,15.0,6,250.0,100,3336
19.0,74,3,datsun b210,31.0,4,79.0,67,1950
16.5,74,1,ford pinto,26.0,4,122.0,80,2451
21.0,74,3,toyota corolla 1200,32.0,4,71.0,65,1836
17.0,74,1,chevrolet vega,25.0,4,140.0,75,2542
17.0,74,1,chevrolet chevelle malibu classic,16.0,6,250.0,100,3781
18.0,74,1,amc matador,16.0,6,258.0,110,3632
16.5,74,1,plymouth satellite sebring,18.0,6,225.0,105,3613
14.0,74,1,ford gran torino,16.0,8,302.0,140,4141
14.5,74,1,buick century luxus (sw),13.0,8,350.0,150,4699
13.5,74,1,dodge coronet custom (sw),14.0,8,318.0,150,4457
16.0,74,1,ford gran torino (sw),14.0,8,302.0,140,4638
15.5,74,1,amc matador (sw),14.0,8,304.0,150,4257
16.5,74,2,audi fox,29.0,4,98.0,83,2219
15.5,74,2,volkswagen dasher,26.0,4,79.0,67,1963
14.5,74,2,opel manta,26.0,4,97.0,78,2300
16.5,74,3,toyota corona,31.0,4,76.0,52,1649
19.0,74,3,datsun 710,32.0,4,83.0,61,2003
14.5,74,1,dodge colt,28.0,4,90.0,75,2125
15.5,74,2,fiat 128,24.0,4,90.0,75,2108
14.0,74,2,fiat 124 tc,26.0,4,116.0,75,2246
15.0,74,3,honda civic,24.0,4,120.0,97,2489
15.5,74,3,subaru,26.0,4,108.0,93,2391
16.0,74,2,fiat x1.9,31.0,4,79.0,67,2000
16.0,75,1,plymouth valiant custom,19.0,6,225.0,95,3264
16.0,75,1,chevrolet nova,18.0,6,250.0,105,3459
21.0,75,1,mercury monarch,15.0,6,250.0,72,3432
19.5,75,1,ford maverick,15.0,6,250.0,72,3158
11.5,75,1,pontiac catalina,16.0,8,400.0,170,4668
14.0,75,1,chevrolet bel air,15.0,8,350.0,145,4440
14.5,75,1,plymouth grand fury,16.0,8,318.0,150,4498
13.5,75,1,ford ltd,14.0,8,351.0,148,4657
21.0,75,1,buick century,17.0,6,231.0,110,3907
18.5,75,1,chevroelt chevelle malibu,16.0,6,250.0,105,3897
19.0,75,1,amc matador,15.0,6,258.0,110,3730
19.0,75,1,plymouth fury,18.0,6,225.0,95,3785
15.0,75,1,buick skyhawk,21.0,6,231.0,110,3039
13.5,75,1,chevrolet monza 2+2,20.0,8,262.0,110,3221
12.0,75,1,ford mustang ii,13.0,8,302.0,129,3169
16.0,75,3,toyota corolla,29.0,4,97.0,75,2171
17.0,75,1,ford pinto,23.0,4,140.0,83,2639
16.0,75,1,amc gremlin,20.0,6,232.0,100,2914
18.5,75,1,pontiac astro,23.0,4,140.0,78,2592
13.5,75,3,toyota corona,24.0,4,134.0,96,2702
16.5,75,2,volkswagen dasher,25.0,4,90.0,71,2223
17.0,75,3,datsun 710,24.0,4,119.0,97,2545
14.5,75,1,ford pinto,18.0,6,171.0,97,2984
14.0,75,2,volkswagen rabbit,29.0,4,90.0,70,1937
17.0,75,1,amc pacer,19.0,6,232.0,90,3211
15.0,75,2,audi 100ls,23.0,4,115.0,95,2694
17.0,75,2,peugeot 504,23.0,4,120.0,88,2957
14.5,75,2,volvo 244dl,22.0,4,121.0,98,2945
13.5,75,2,saab 99le,25.0,4,121.0,115,2671
17.5,75,3,honda civic cvcc,33.0,4,91.0,53,1795
15.5,76,2,fiat 131,28.0,4,107.0,86,2464
16.9,76,2,opel 1900,25.0,4,116.0,81,2220
14.9,76,1,capri ii,25.0,4,140.0,92,2572
17.7,76,1,dodge colt,26.0,4,98.0,79,2255
15.3,76,2,renault 12tl,27.0,4,101.0,83,2202
13.0,76,1,chevrolet chevelle malibu classic,17.5,8,305.0,140,4215
13.0,76,1,dodge coronet brougham,16.0,8,318.0,150,4190
13.9,76,1,amc matador,15.5,8,304.0,120,3962
12.8,76,1,ford gran torino,14.5,8,351.0,152,4215
15.4,76,1,plymouth valiant,22.0,6,225.0,100,3233
14.5,76,1,chevrolet nova,22.0,6,250.0,105,3353
17.6,76,1,ford maverick,24.0,6,200.0,81,3012
17.6,76,1,amc hornet,22.5,6,232.0,90,3085
22.2,76,1,chevrolet chevette,29.0,4,85.0,52,2035
22.1,76,1,chevrolet woody,24.5,4,98.0,60,2164
14.2,76,2,vw rabbit,29.0,4,90.0,70,1937
17.4,76,3,honda civic,33.0,4,91.0,53,1795
17.7,76,1,dodge aspen se,20.0,6,225.0,100,3651
21.0,76,1,ford granada ghia,18.0,6,250.0,78,3574
16.2,76,1,pontiac ventura sj,18.5,6,250.0,110,3645
17.8,76,1,amc pacer d/l,17.5,6,258.0,95,3193
12.2,76,2,volkswagen rabbit,29.5,4,97.0,71,1825
17.0,76,3,datsun b-210,32.0,4,85.0,70,1990
16.4,76,3,toyota corolla,28.0,4,97.0,75,2155
13.6,76,1,ford pinto,26.5,4,140.0,72,2565
15.7,76,2,volvo 245,20.0,4,130.0,102,3150
13.2,76,1,plymouth volare premier v8,13.0,8,318.0,150,3940
21.9,76,2,peugeot 504,19.0,4,120.0,88,3270
15.5,76,3,toyota mark ii,19.0,6,156.0,108,2930
16.7,76,2,mercedes-benz 280s,16.5,6,168.0,120,3820
12.1,76,1,cadillac seville,16.5,8,350.0,180,4380
12.0,76,1,chevy c10,13.0,8,350.0,145,4055
15.0,76,1,ford f108,13.0,8,302.0,130,3870
14.0,76,1,dodge d100,13.0,8,318.0,150,3755
18.5,77,3,honda accord cvcc,31.5,4,98.0,68,2045
14.8,77,1,buick opel isuzu deluxe,30.0,4,111.0,80,2155
18.6,77,2,renault 5 gtl,36.0,4,79.0,58,1825
15.5,77,1,plymouth arrow gs,25.5,4,122.0,96,2300
16.8,77,3,datsun f-10 hatchback,33.5,4,85.0,70,1945
12.5,77,1,chevrolet caprice classic,17.5,8,305.0,145,3880
19.0,77,1,oldsmobile cutlass supreme,17.0,8,260.0,110,4060
13.7,77,1,dodge monaco brougham,15.5,8,318.0,145,4140
14.9,77,1,mercury cougar brougham,15.0,8,302.0,130,4295
16.4,77,1,chevrolet concours,17.5,6,250.0,110,3520
16.9,77,1,buick skylark,20.5,6,231.0,105,3425
17.7,77,1,plymouth volare custom,19.0,6,225.0,100,3630
19.0,77,1,ford granada,18.5,6,250.0,98,3525
11.1,77,1,pontiac grand prix lj,16.0,8,400.0,180,4220
11.4,77,1,chevrolet monte carlo landau,15.5,8,350.0,170,4165
12.2,77,1,chrysler cordoba,15.5,8,400.0,190,4325
14.5,77,1,ford thunderbird,16.0,8,351.0,149,4335
14.5,77,2,volkswagen rabbit custom,29.0,4,97.0,78,1940
16.0,77,1,pontiac sunbird coupe,24.5,4,151.0,88,2740
18.2,77,3,toyota corolla liftback,26.0,4,97.0,75,2265
15.8,77,1,ford mustang ii 2+2,25.5,4,140.0,89,2755
17.0,77,1,chevrolet chevette,30.5,4,98.0,63,2051
15.9,77,1,dodge colt m/m,33.5,4,98.0,83,2075
16.4,77,3,subaru dl,30.0,4,97.0,67,1985
14.1,77,2,volkswagen dasher,30.5,4,97.0,78,2190
14.5,77,3,datsun 810,22.0,6,146.0,97,2815
12.8,77,2,bmw 320i,21.5,4,121.0,110,2600
13.5,77,3,mazda rx-4,21.5,3,80.0,110,2720
21.5,78,2,volkswagen rabbit custom diesel,43.1,4,90.0,48,1985
14.4,78,1,ford fiesta,36.1,4,98.0,66,1800
19.4,78,3,mazda glc deluxe,32.8,4,78.0,52,1985
18.6,78,3,datsun b210 gx,39.4,4,85.0,70,2070
16.4,78,3,honda civic cvcc,36.1,4,91.0,60,1800
15.5,78,1,oldsmobile cutlass salon brougham,19.9,8,260.0,110,3365
13.2,78,1,dodge diplomat,19.4,8,318.0,140,3735
12.8,78,1,mercury monarch ghia,20.2,8,302.0,139,3570
19.2,78,1,pontiac phoenix lj,19.2,6,231.0,105,3535
18.2,78,1,chevrolet malibu,20.5,6,200.0,95,3155
15.8,78,1,ford fairmont (auto),20.2,6,200.0,85,2965
15.4,78,1,ford fairmont (man),25.1,4,140.0,88,2720
17.2,78,1,plymouth volare,20.5,6,225.0,100,3430
17.2,78,1,amc concord,19.4,6,232.0,90,3210
15.8,78,1,buick century special,20.6,6,231.0,105,3380
16.7,78,1,mercury zephyr,20.8,6,200.0,85,3070
18.7,78,1,dodge aspen,18.6,6,225.0,110,3620
15.1,78,1,amc concord d/l,18.1,6,258.0,120,3410
13.2,78,1,chevrolet monte carlo landau,19.2,8,305.0,145,3425
13.4,78,1,buick regal sport coupe (turbo),17.7,6,231.0,165,3445
11.2,78,1,ford futura,18.1,8,302.0,139,3205
13.7,78,1,dodge magnum xe,17.5,8,318.0,140,4080
16.5,78,1,chevrolet chevette,30.0,4,98.0,68,2155
14.2,78,3,toyota corona,27.5,4,134.0,95,2560
14.7,78,3,datsun 510,27.2,4,119.0,97,2300
14.5,78,1,dodge omni,30.9,4,105.0,75,2230
14.8,78,3,toyota celica gt liftback,21.1,4,134.0,95,2515
16.7,78,1,plymouth sapporo,23.2,4,156.0,105,2745
17.6,78,1,oldsmobile starfire sx,23.8,4,151.0,85,2855
14.9,78,3,datsun 200-sx,23.9,4,119.0,97,2405
15.9,78,2,audi 5000,20.3,5,131.0,103,2830
13.6,78,2,volvo 264gl,17.0,6,163.0,125,3140
15.7,78,2,saab 99gle,21.6,4,121.0,115,2795
15.8,78,2,peugeot 604sl,16.2,6,163.0,133,3410
14.9,78,2,volkswagen scirocco,31.5,4,89.0,71,1990
16.6,78,3,honda accord lx,29.5,4,98.0,68,2135
15.4,79,1,pontiac lemans v6,21.5,6,231.0,115,3245
18.2,79,1,mercury zephyr 6,19.8,6,200.0,85,2990
17.3,79,1,ford fairmont 4,22.3,4,140.0,88,2890
18.2,79,1,amc concord dl 6,20.2,6,232.0,90,3265
16.6,79,1,dodge aspen 6,20.6,6,225.0,110,3360
15.4,79,1,chevrolet caprice classic,17.0,8,305.0,130,3840
13.4,79,1,ford ltd landau,17.6,8,302.0,129,3725
13.2,79,1,mercury grand marquis,16.5,8,351.0,138,3955
15.2,79,1,dodge st. regis,18.2,8,318.0,135,3830
14.9,79,1,buick estate wagon (sw),16.9,8,350.0,155,4360
14.3,79,1,ford country squire (sw),15.5,8,351.0,142,4054
15.0,79,1,chevrolet malibu classic (sw),19.2,8,267.0,125,3605
13.0,79,1,chrysler lebaron town @ country (sw),18.5,8,360.0,150,3940
14.0,79,2,vw rabbit custom,31.9,4,89.0,71,1925
15.2,79,3,maxda glc deluxe,34.1,4,86.0,65,1975
14.4,79,1,dodge colt hatchback custom,35.7,4,98.0,80,1915
15.0,79,1,amc spirit dl,27.4,4,121.0,80,2670
20.1,79,2,mercedes benz 300d,25.4,5,183.0,77,3530
17.4,79,1,cadillac eldorado,23.0,8,350.0,125,3900
24.8,79,2,peugeot 504,27.2,4,141.0,71,3190
22.2,79,1,oldsmobile cutlass salon brougham,23.9,8,260.0,90,3420
13.2,79,1,plymouth horizon,34.2,4,105.0,70,2200
14.9,79,1,plymouth horizon tc3,34.5,4,105.0,70,2150
19.2,79,3,datsun 210,31.8,4,85.0,65,2020
14.7,79,2,fiat strada custom,37.3,4,91.0,69,2130
16.0,79,1,buick skylark limited,28.4,4,151.0,90,2670
11.3,79,1,chevrolet citation,28.8,6,173.0,115,2595
12.9,79,1,oldsmobile omega brougham,26.8,6,173.0,115,2700
13.2,79,1,pontiac phoenix,33.5,4,151.0,90,2556
14.7,80,2,vw rabbit,41.5,4,98.0,76,2144
18.8,80,3,toyota corolla tercel,38.1,4,89.0,60,1968
15.5,80,1,chevrolet chevette,32.1,4,98.0,70,2120
16.4,80,3,datsun 310,37.2,4,86.0,65,2019
16.5,80,1,chevrolet citation,28.0,4,151.0,90,2678
18.1,80,1,ford fairmont,26.4,4,140.0,88,2870
20.1,80,1,amc concord,24.3,4,151.0,90,3003
18.7,80,1,dodge aspen,19.1,6,225.0,90,3381
15.8,80,2,audi 4000,34.3,4,97.0,78,2188
15.5,80,3,toyota corona liftback,29.8,4,134.0,90,2711
17.5,80,3,mazda 626,31.3,4,120.0,75,2542
15.0,80,3,datsun 510 hatchback,37.0,4,119.0,92,2434
15.2,80,3,toyota corolla,32.2,4,108.0,75,2265
17.9,80,3,mazda glc,46.6,4,86.0,65,2110
14.4,80,1,dodge colt,27.9,4,156.0,105,2800
19.2,80,3,datsun 210,40.8,4,85.0,65,2110
21.7,80,2,vw rabbit c (diesel),44.3,4,90.0,48,2085
23.7,80,2,vw dasher (diesel),43.4,4,90.0,48,2335
19.9,80,2,audi 5000s (diesel),36.4,5,121.0,67,2950
21.8,80,2,mercedes-benz 240d,30.0,4,146.0,67,3250
13.8,80,3,honda civic 1500 gl,44.6,4,91.0,67,1850
17.3,80,2,renault lecar deluxe,40.9,4,85.0,?,1835
18.0,80,3,subaru dl,33.8,4,97.0,67,2145
15.3,80,2,vokswagen rabbit,29.8,4,89.0,62,1845
11.4,80,3,datsun 280-zx,32.7,6,168.0,132,2910
12.5,80,3,mazda rx-7 gs,23.7,3,70.0,100,2420
15.1,80,2,triumph tr7 coupe,35.0,4,122.0,88,2500
14.3,80,1,ford mustang cobra,23.6,4,140.0,?,2905
17.0,80,3,honda accord,32.4,4,107.0,72,2290
15.7,81,1,plymouth reliant,27.2,4,135.0,84,2490
16.4,81,1,buick skylark,26.6,4,151.0,84,2635
14.4,81,1,dodge aries wagon (sw),25.8,4,156.0,92,2620
12.6,81,1,chevrolet citation,23.5,6,173.0,110,2725
12.9,81,1,plymouth reliant,30.0,4,135.0,84,2385
16.9,81,3,toyota starlet,39.1,4,79.0,58,1755
16.4,81,1,plymouth champ,39.0,4,86.0,64,1875
16.1,81,3,honda civic 1300,35.1,4,81.0,60,1760
17.8,81,3,subaru,32.3,4,97.0,67,2065
19.4,81,3,datsun 210 mpg,37.0,4,85.0,65,1975
17.3,81,3,toyota tercel,37.7,4,89.0,62,2050
16.0,81,3,mazda glc 4,34.1,4,91.0,68,1985
14.9,81,1,plymouth horizon 4,34.7,4,105.0,63,2215
16.2,81,1,ford escort 4w,34.4,4,98.0,65,2045
20.7,81,1,ford escort 2h,29.9,4,98.0,65,2380
14.2,81,2,volkswagen jetta,33.0,4,105.0,74,2190
15.8,81,2,renault 18i,34.5,4,100.0,?,2320
14.4,81,3,honda prelude,33.7,4,107.0,75,2210
16.8,81,3,toyota corolla,32.4,4,108.0,75,2350
14.8,81,3,datsun 200sx,32.9,4,119.0,100,2615
18.3,81,3,mazda 626,31.6,4,120.0,74,2635
20.4,81,2,peugeot 505s turbo diesel,28.1,4,141.0,80,3230
19.6,81,2,volvo diesel,30.7,6,145.0,76,3160
12.6,81,3,toyota cressida,25.4,6,168.0,116,2900
13.8,81,3,datsun 810 maxima,24.2,6,146.0,120,2930
15.8,81,1,buick century,22.4,6,231.0,110,3415
19.0,81,1,oldsmobile cutlass ls,26.6,8,350.0,105,3725
17.1,81,1,ford granada gl,20.2,6,200.0,88,3060
16.6,81,1,chrysler lebaron salon,17.6,6,225.0,85,3465
19.6,82,1,chevrolet cavalier,28.0,4,112.0,88,2605
18.6,82,1,chevrolet cavalier wagon,27.0,4,112.0,88,2640
18.0,82,1,chevrolet cavalier 2-door,34.0,4,112.0,88,2395
16.2,82,1,pontiac j2000 se hatchback,31.0,4,112.0,85,2575
16.0,82,1,dodge aries se,29.0,4,135.0,84,2525
18.0,82,1,pontiac phoenix,27.0,4,151.0,90,2735
16.4,82,1,ford fairmont futura,24.0,4,140.0,92,2865
20.5,82,1,amc concord dl,23.0,4,151.0,?,3035
15.3,82,2,volkswagen rabbit l,36.0,4,105.0,74,1980
18.2,82,3,mazda glc custom l,37.0,4,91.0,68,2025
17.6,82,3,mazda glc custom,31.0,4,91.0,68,1970
14.7,82,1,plymouth horizon miser,38.0,4,105.0,63,2125
17.3,82,1,mercury lynx l,36.0,4,98.0,70,2125
14.5,82,3,nissan stanza xe,36.0,4,120.0,88,2160
14.5,82,3,honda accord,36.0,4,107.0,75,2205
16.9,82,3,toyota corolla,34.0,4,108.0,70,2245
15.0,82,3,honda civic,38.0,4,91.0,67,1965
15.7,82,3,honda civic (auto),32.0,4,91.0,67,1965
16.2,82,3,datsun 310 gx,38.0,4,91.0,67,1995
16.4,82,1,buick century limited,25.0,6,181.0,110,2945
17.0,82,1,oldsmobile cutlass ciera (diesel),38.0,6,262.0,85,3015
14.5,82,1,chrysler lebaron medallion,26.0,4,156.0,92,2585
14.7,82,1,ford granada l,22.0,6,232.0,112,2835
13.9,82,3,toyota celica gt,32.0,4,144.0,96,2665
13.0,82,1,dodge charger 2.2,36.0,4,135.0,84,2370
17.3,82,1,chevrolet camaro,27.0,4,151.0,90,2950
15.6,82,1,ford mustang gl,27.0,4,140.0,86,2790
24.6,82,2,vw pickup,44.0,4,97.0,52,2130
11.6,82,1,dodge rampage,32.0,4,135.0,84,2295
18.6,82,1,ford ranger,28.0,4,120.0,79,2625
19.4,82,1,chevy s-10,31.0,4,119.0,82,2720
